Country Name,Country Code,Time,Time Code,CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Forest area (% of land area) [AG.LND.FRST.ZS],Population density (people per sq. km of land area) [EN.POP.DNST],Renewable energy consumption (% of total final energy consumption) [EG.FEC.RNEW.ZS],,,
World,WLD,2005,YR2005,4.329790027,31.76606492,50.51024397,16.65049643,,,
World,WLD,2006,YR2006,4.417134594,31.72734467,51.10617438,16.72202078,,,
World,WLD,2007,YR2007,4.528275107,31.68757733,51.7413824,16.53042595,,,
World,WLD,2008,YR2008,4.503795413,31.65162673,52.39381723,16.68234557,,,
World,WLD,2009,YR2009,4.391450538,31.61217853,53.04324797,17.09256113,,,
World,WLD,2010,YR2010,4.604869382,31.57177176,53.69183502,16.74770892,,,
World,WLD,2011,YR2011,4.68946885,31.53696347,54.33894214,16.71762707,,,
World,WLD,2012,YR2012,4.685377082,31.47231384,54.95925426,16.95344844,,,
World,WLD,2013,YR2013,4.719665779,31.43820022,55.63661044,17.21164809,,,
World,WLD,2014,YR2014,4.682408225,31.40380692,56.31210317,17.38010859,,,
World,WLD,2015,YR2015,4.601683731,31.36838645,56.97860078,17.4241285,,,
World,WLD,2016,YR2016,4.558579231,31.34091596,57.6404443,17.67675038,,,
World,WLD,2017,YR2017,4.57838089,31.28999701,58.30570681,17.91919181,,,
World,WLD,2018,YR2018,4.642145296,31.25263574,58.95127645,18.1622255,,,
World,WLD,2019,YR2019,4.582572771,31.21375455,59.5781121,18.63654208,,,
World,WLD,2020,YR2020,4.292269191,31.17690459,60.1835088,19.77134448,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
